crab,sex,cl_mm,time,x,y,lat,lon,accel,temperature_c,conductivity_ms_cm
A69-9006-7792,F,124.00,2020-02-28T15:48:21Z,435.624,239.343,-32.75,152.054,0.014,26.11,43.583
A69-9006-7792,F,124.00,2020-02-28T15:04:52Z,468.102,259.198,-32.749,152.054,0.095,26.11,43.583
A69-9006-7792,F,124.00,2020-02-28T13:19:35Z,531.946,312.521,-32.749,152.055,0.924,24.82,45.179
A69-9006-7792,F,124.00,2020-02-28T13:10:11Z,481.847,333.568,-32.749,152.055,0.054,24.82,45.179
A69-9006-7792,F,124.00,2020-02-28T13:04:43Z,482.8,333.545,-32.749,152.055,0.027,24.82,45.179
A69-9006-7792,F,124.00,2020-02-28T12:58:44Z,482.302,332.774,-32.749,152.055,0.054,24.41,45.428
A69-9006-7792,F,124.00,2020-02-28T12:53:20Z,470.37,344.033,-32.749,152.054,0.136,24.41,45.428
A69-9006-7792,F,124.00,2020-02-28T12:47:24Z,482.58,332.531,-32.749,152.055,0.041,24.41,45.428
A69-9006-7792,F,124.00,2020-02-28T12:01:20Z,431.843,319.897,-32.749,152.054,0.19,24.41,45.428
A69-9006-7792,F,124.00,2020-02-28T11:36:02Z,432.193,323.532,-32.749,152.054,0.041,24.53,44.794
A69-9006-7792,F,124.00,2020-02-28T11:32:54Z,430.353,323.351,-32.749,152.054,0.041,24.53,44.794
A69-9006-7792,F,124.00,2020-02-28T11:30:01Z,429.6,322.696,-32.749,152.054,0.041,24.53,44.794
A69-9006-7792,F,124.00,2020-02-28T11:22:03Z,430.453,323.559,-32.749,152.054,0.027,24.53,44.794
A69-9006-7792,F,124.00,2020-02-28T11:18:58Z,434.483,325.35,-32.749,152.054,0.027,24.53,44.794
A69-9006-7792,F,124.00,2020-02-28T11:06:43Z,431.341,322.829,-32.749,152.054,0.054,24.53,44.794
A69-9006-7792,F,124.00,2020-02-28T11:03:51Z,430.317,322.774,-32.749,152.054,0.041,24.53,44.794
A69-9006-7792,F,124.00,2020-02-28T11:01:07Z,430.832,324.224,-32.749,152.054,0.027,24.53,44.794
